iter	Passed	Remaining
431	1650	6755
432	1654	6751
433	1657	6746
434	1660	6739
435	1664	6734
436	1667	6728
437	1671	6725
438	1675	6719
439	1679	6716
440	1682	6710
441	1685	6702
442	1688	6696
443	1691	6688
444	1695	6685
445	1698	6678
446	1703	6680
447	1706	6673
448	1710	6668
449	1713	6663
450	1717	6659
451	1720	6655
452	1729	6668
453	1732	6661
454	1735	6654
455	1738	6648
456	1742	6644
457	1745	6639
458	1752	6646
459	1755	6641
460	1761	6643
461	1765	6639
462	1769	6638
463	1777	6648
464	1790	6679
465	1794	6676
466	1803	6692
467	1806	6687
468	1809	6679
469	1812	6673
470	1815	6666
471	1819	6659
472	1822	6654
473	1825	6648
474	1829	6643
475	1832	6636
476	1836	6632
477	1839	6628
478	1843	6623
479	1847	6619
480	1850	6612
481	1853	6607
482	1866	6635
483	1870	6631
484	1875	6631
485	1879	6627
486	1882	6619
487	1885	6614
488	1888	6607
489	1902	6638
490	1904	6630
491	1908	6624
492	1911	6618
493	1915	6615
494	1919	6610
495	1922	6603
496	1925	6597
497	1928	6590
498	1931	6582
499	1934	6575
500	1937	6570
501	1940	6564
502	1944	6559
503	1947	6553
504	1950	6547
505	1954	6543
506	1960	6546
507	1964	6542
508	1967	6535
509	1971	6532
510	1975	6528
511	1978	6522
512	1982	6518
513	1985	6512
514	1988	6505
515	1991	6500
516	1994	6493
517	1998	6487
518	2001	6482
519	2004	6476
520	2009	6475
521	2015	6478
522	2019	6475
523	2029	6489
524	2032	6484
525	2036	6481
526	2040	6477
527	2044	6473
528	2057	6500
529	2062	6497
530	2066	6494
531	2070	6490
532	2073	6486
533	2077	6481
534	2080	6475
535	2083	6469
536	2087	6463
537	2092	6465
538	2096	6459
539	2099	6454
540	2102	6448
541	2108	6448
542	2111	6443
543	2115	6438
544	2118	6433
545	2123	6431
546	2126	6426
547	2131	6426
548	2135	6420
549	2138	6414
550	2141	6409
551	2145	6406
552	2149	6401
553	2153	6396
554	2156	6392
555	2161	6390
556	2164	6384
557	2167	6379
558	2171	6374
559	2174	6367
560	2177	6360
561	2180	6355
562	2183	6349
563	2187	6345
564	2190	6339
565	2194	6334
566	2196	6327
567	2201	6325
568	2204	6319
569	2210	6321
570	2213	6316
571	2216	6309
572	2220	6303
573	2224	6300
574	2226	6293
575	2230	6288
576	2234	6285
577	2238	6281
578	2241	6276
579	2245	6271
580	2248	6265
581	2251	6260
582	2255	6255
583	2259	6251
584	2262	6246
585	2265	6241
586	2269	6235
587	2272	6230
588	2276	6226
589	2279	6219
590	2291	6238
591	2294	6231
592	2298	6227
593	2301	6222
594	2307	6223
595	2310	6217
596	2313	6212
597	2316	6204
598	2319	6199
599	2323	6195
600	2326	6189
601	2329	6184
602	2333	6179
603	2336	6174
604	2340	6169
605	2343	6164
606	2346	6159
607	2350	6153
608	2353	6148
609	2357	6144
610	2361	6141
611	2366	6140
612	2369	6133
613	2372	6128
614	2376	6124
615	2379	6119
616	2383	6113
617	2386	6109
618	2389	6104
619	2394	6102
620	2398	6098
621	2402	6094
622	2405	6090
623	2410	6088
624	2414	6085
625	2417	6079
626	2421	6074
627	2424	6068
628	2427	6063
629	2430	6057
630	2434	6053
631	2443	6061
632	2446	6055
633	2449	6051
634	2453	6047
635	2457	6043
636	2462	6041
637	2466	6037
638	2469	6033
639	2474	6031
640	2478	6027
641	2481	6020
